text,emotion
I am very happy today,Happy
I passed my exam,Happy
I got good marks,Happy
I feel excited,Happy
I am smiling today,Happy
Today is a wonderful day,Happy
I achieved my goal,Happy
I am proud of myself,Happy

I am feeling sad,Sad
I miss my family,Sad
I failed my exam,Sad
I am crying,Sad
I feel lonely,Sad
I am disappointed,Sad
Nobody understands me,Sad
I feel depressed today,Sad

I am angry,Angry
This makes me angry,Angry
I am frustrated,Angry
I hate this situation,Angry
I lost my patience,Angry
I am upset,Angry
I cannot control my anger,Angry
Everything is irritating me,Angry

I am worried about my exam,Stressed
I feel stressed because of studies,Stressed
I have too many assignments,Stressed
My exams are coming soon,Stressed
I have a lot of work,Stressed
I am under pressure,Stressed
I cannot finish my syllabus,Stressed
I have no time to study,Stressed
I am nervous about tomorrow's exam,Stressed
I feel anxious about my results,Stressed

I am relaxed,Relaxed
I feel calm,Relaxed
I am peaceful today,Relaxed
Meditation makes me relaxed,Relaxed
I am enjoying my free time,Relaxed
I feel comfortable,Relaxed

I am confused,Confused
I don't understand this topic,Confused
This lesson is difficult,Confused
I need help with this subject,Confused
I don't know what to do,Confused
This chapter is confusing,Confused

I am motivated to study,Motivated
I will achieve my goals,Motivated
I am confident, Motivated
I am ready to learn,Motivated
I want to improve my skills,Motivated
I will work hard,Motivated
